z,T_eV,Theta_total_norm,Gamma_QCD,Gamma_weak,Gamma_thermal,Gamma_EM
2145627711.3882952,503841.301716939,7.915237259078636e-07,6.826143899609081e-174,3.422879531100102e-05,1.0,1.0
2188904519.0917234,514003.66259695316,8.074567175985612e-07,2.7621472042435183e-173,4.61820436380241e-05,1.0,1.0
2233054209.856393,524370.9959124383,8.237119563043943e-07,1.1176818552630363e-172,6.230929929451036e-05,1.0,1.0
2278094389.528931,534947.4359093457,8.402962737363562e-07,4.5226146082331756e-172,8.406788887307865e-05,1.0,1.0
2324043019.061737,545737.2002203916,8.57216764337155e-07,1.830041598915901e-171,0.00011342377971413561,1.0,1.0
2370918421.6754336,556744.5915469613,8.744808375557517e-07,7.40512412378938e-171,0.00015302896374018673,1.0,1.0
2418739290.165697,567973.9993749156,8.920962888110387e-07,2.9964271479870148e-170,0.00020646058452411468,1.0,1.0
2467524694.3575177,579429.901725018,9.100713961183992e-07,1.2124814524655432e-169,0.00027854320237837206,1.0,1.0
2517294088.7097545,591116.8669386538,9.284150519409692e-07,4.906213967447207e-169,0.0003757829264848451,1.0,1.0
2568067320.0731683,603039.555499589,9.47136943358702e-07,1.985262161799938e-168,0.0005069519262369375,1.0,1.0
2619864635.6048446,615202.7218924548,9.662477984506604e-07,8.033212324755679e-168,0.0006838748296007102,1.0,1.0
2672706690.842248,627611.2164987146,9.85759723289001e-07,3.2505782609974163e-167,0.0009224856802601916,1.0,1.0
2726614557.9402204,640269.9875308957,1.0056866626956204e-06,1.3153217671612565e-166,0.0012442466130115765,1.0,1.0
2781609734.0740256,653184.0830058121,1.0260450295934086e-06,5.322349478383532e-166,0.0016780485357978695,1.0,1.0
2837714150.0118756,666358.6527575844,1.0468545631881175e-06,2.1536482309923256e-165,0.002262751222112227,1.0,1.0
2894950178.8604693,679798.9504912877,1.0681394961815292e-06,8.71457374556073e-165,0.0030505663643118444,1.0,1.0
2953340644.9868073,693510.3358779941,1.0899301364331421e-06,3.526285977193038e-164,0.0041115423671132635,1.0,1.0
3012908833.120033,707498.2766920864,1.1122649990817102e-06,1.4268847973664324e-163,0.005539471665465258,1.0,1.0
3073678497.6367774,721768.3509916662,1.1351936598239224e-06,5.773780794133017e-163,0.0074596029427816705,1.0,1.0
3135673872.0339146,736326.2493429668,1.1587805345366436e-06,2.3363164791250203e-162,0.010038585257918243,1.0,1.0
3198919678.592267,751177.7770896085,1.1831098145868047e-06,9.453726917079619e-162,0.013497065334557735,1.0,1.0
3263441138.2352247,766328.8566676213,1.2082917802600196e-06,3.825378685722478e-161,0.0181252409601252,1.0,1.0
3329263980.5863247,781785.5299671901,1.23447063807037e-06,1.547910386840894e-160,0.024301334778492275,1.0,1.0
3396414454.2295785,797553.9607420082,1.2618338147922788e-06,6.263501636199929e-160,0.03251222037973266,1.0,1.0
3464919337.176739,813640.4370672252,1.290622187797161e-06,2.534478292833072e-159,0.04337405460993992,1.0,1.0
3534805947.5458164,830051.3738470016,1.3211398955722325e-06,1.025557362317692e-158,0.057648438142376274,1.0,1.0
3606102154.4548407,846793.3153726069,1.353761005685562e-06,4.149839856141197e-158,0.07624609446800523,1.0,1.0
3678836389.1354303,863872.9379321339,1.3889283723964071e-06,1.6792011314547203e-157,0.10020546149839843,1.0,1.0
3753037656.270434,881297.0524728305,1.4271377867183637e-06,6.794759647716585e-157,0.13062908135125384,1.0,1.0
3828735545.5603943,899072.6073171633,1.4688990343893649e-06,2.7494478062067737e-156,0.16855931597404866,1.0,1.0
