z,Theta_A_norm,Theta_B_norm,rel_diff
10.032995447047771,1.6967194701131711e-06,0.00037033179440929887,-217.26342004821677
10.368997429379098,1.696753070254428e-06,0.00037033179440929887,-217.25909786258273
10.716252016451097,1.6967877956542507e-06,0.00037033179440929887,-217.25463110813195
11.075136054592384,1.6968236839972081e-06,0.00037033179440929887,-217.25001495553627
11.44603901060112,1.6968607742299144e-06,0.00037033179440929887,-217.24524441456688
11.829363394400712,1.6968991066032934e-06,0.00037033179440929887,-217.24031432876242
12.225525195850132,1.6969387227162607e-06,0.00037033179440929887,-217.2352193699223
12.634954336182888,1.696979665560866e-06,0.00037033179440929887,-217.22995403241976
13.058095134564539,1.6970219795689516e-06,0.00037033179440929887,-217.2245126273286
13.495406790275077,1.6970657106603674e-06,0.00037033179440929887,-217.2188892763582
13.947363881039466,1.6971109062928047e-06,0.00037033179440929887,-217.21307790559035
