ell,Delta_Cl_over_Cl
209,-7.984107674700677e-29
210,-8.055321396385938e-29
211,-8.126801729190518e-29
212,-8.198548042818232e-29
213,-8.27055970785674e-29
214,-8.342836095776545e-29
215,-8.415376578929991e-29
216,-8.488180530550245e-29
217,-8.561247324750319e-29
218,-8.634576336522039e-29
219,-8.708166941735058e-29
220,-8.78201851713587e-29
221,-8.856130440346779e-29
222,-8.930502089864925e-29
223,-9.005132845061289e-29
224,-9.080022086179674e-29
225,-9.15516919433573e-29
226,-9.230573551515957e-29
227,-9.306234540576708e-29
228,-9.382151545243194e-29
229,-9.458323950108505e-29
230,-9.534751140632604e-29
231,-9.611432503141355e-29
232,-9.688367424825518e-29
233,-9.765555293739773e-29
234,-9.842995498801738e-29
235,-9.92068742979097e-29
236,-9.998630477347984e-29
237,-1.0076824032973293e-28
238,-1.0155267489026388e-28
239,-1.0233960238724787e-28
240,-1.0312901676143042e-28
241,-1.0392091196211761e-28
242,-1.0471528194716638e-28
243,-1.0551212068297462e-28
244,-1.0631142214447152e-28
245,-1.0711318031510786e-28
246,-1.0791738918684609e-28
247,-1.0872404276015068e-28
248,-1.0953313504397862e-28
249,-1.103446600557693e-28
250,-1.1115861182143514e-28
251,-1.119749843753518e-28
252,-1.127937717603484e-28
253,-1.1361496802769803e-28
254,-1.144385672371079e-28
255,-1.1526456345670992e-28
256,-1.1609295076305073e-28
257,-1.1692372324108246e-28
258,-1.177568749841527e-28
259,-1.1859240009399529e-28
260,-1.1943029268072042e-28
261,-1.2027054686280514e-28
262,-1.2111315676708381e-28
263,-1.219581165287385e-28
264,-1.2280542029128932e-28
265,-1.2365506220658514e-28
266,-1.2450703643479377e-28
267,-1.2536133714439251e-28
268,-1.2621795851215872e-28
269,-1.2707689472316019e-28
270,-1.2793813997074563e-28
271,-1.2880168845653533e-28
272,-1.2966753439041154e-28
273,-1.3053567199050887e-28
274,-1.3140609548320516e-28
275,-1.3227879910311176e-28
276,-1.331537770930642e-28
277,-1.3403102370411266e-28
278,-1.3491053319551258e-28
279,-1.3579229983471537e-28
280,-1.3667631789735874e-28
281,-1.375625816672575e-28
282,-1.3845108543639424e-28
283,-1.3934182350490965e-28
284,-1.4023479018109342e-28
285,-1.411299797813748e-28
286,-1.4202738663031324e-28
287,-1.4292700506058895e-28
288,-1.438288294129938e-28
289,-1.4473285403642178e-28
290,-1.4563907328785973e-28
291,-1.4654748153237825e-28
292,-1.4745807314312203e-28
293,-1.483708425013009e-28
294,-1.4928578399618032e-28
295,-1.502028920250723e-28
296,-1.5112216099332602e-28
297,-1.5204358531431868e-28
298,-1.5296715940944605e-28
299,-1.538928777081136e-28
300,-1.5482073464772697e-28
301,-1.557507246736828e-28
302,-1.5668284223935981e-28
303,-1.5761708180610921e-28
304,-1.5855343784324578e-28
305,-1.594919048280386e-28
306,-1.6043247724570194e-28
307,-1.6137514958938612e-28
308,-1.623199163601683e-28
309,-1.6326677206704328e-28
310,-1.6421571122691462e-28
311,-1.6516672836458535e-28
312,-1.6611981801274875e-28
313,-1.6707497471197956e-28
314,-1.6803219301072464e-28
315,-1.6899146746529401e-28
316,-1.6995279263985173e-28
317,-1.7091616310640685e-28
318,-1.7188157344480438e-28
319,-1.7284901824271625e-28
320,-1.7381849209563223e-28
321,-1.747899896068509e-28
322,-1.7576350538747083e-28
323,-1.7673903405638134e-28
324,-1.777165702402535e-28
325,-1.7869610857353139e-28
326,-1.7967764369842285e-28
327,-1.806611702648907e-28
328,-1.8164668293064359e-28
329,-1.8263417636112738e-28
330,-1.8362364522951578e-28
331,-1.846150842167018e-28
332,-1.856084880112885e-28
333,-1.8660385130958036e-28
334,-1.8760116881557426e-28
335,-1.886004352409504e-28
336,-1.8960164530506385e-28
337,-1.9060479373493516e-28
338,-1.91609875265242e-28
339,-1.9261688463830992e-28
340,-1.936258166041035e-28
341,-1.9463666592021795e-28
342,-1.9564942735186974e-28
343,-1.9666409567188805e-28
344,-1.97680665660706e-28
345,-1.986991321063517e-28
346,-1.9971948980443944e-28
347,-2.007417335581612e-28
348,-2.0176585817827752e-28
349,-2.027918584831087e-28
350,-2.0381972929852667e-28
351,-2.0484946545794524e-28
352,-2.0588106180231228e-28
353,-2.0691451318010047e-28
354,-2.0794981444729872e-28
355,-2.0898696046740356e-28
356,-2.100259461114101e-28
357,-2.1106676625780365e-28
358,-2.1210941579255117e-28
359,-2.131538896090921e-28
360,-2.142001826083299e-28
361,-2.152482896986238e-28
362,-2.1629820579577944e-28
363,-2.1734992582304066e-28
364,-2.1840344471108095e-28
365,-2.194587573979945e-28
366,-2.205158588292878e-28
367,-2.2157474395787105e-28
368,-2.2263540774404926e-28
369,-2.2369784515551415e-28
370,-2.247620511673352e-28
371,-2.258280207619511e-28
372,-2.2689574892916154e-28
373,-2.2796523066611814e-28
