f_Hz,Omega_GW_total,Omega_GW_QCD,Omega_GW_weak,Omega_GW_thermal
7.296341880633984e-09,4.7222109849836556e-08,4.722210984980378e-08,3.27786800981803e-20,1.4318410507563627e-223
7.466582529279733e-09,5.622010410422352e-08,5.622010410419783e-08,2.5694477498827843e-20,4.287841860677478e-224
7.640795288734604e-09,6.671046671414383e-08,6.671046671412371e-08,2.0111588536034355e-20,1.2821562858755494e-224
7.819072837594545e-09,7.889552815755874e-08,7.889552815754302e-08,1.5718504196520294e-20,3.8282600170628936e-225
8.001510016862871e-09,9.299655740577945e-08,9.299655740576718e-08,1.2266885490073879e-20,1.1413534211822536e-225
8.188203880404509e-09,1.0925402136537987e-07,1.0925402136537031e-07,9.559070457948512e-21,3.397794570129678e-226
8.379253746576944e-09,1.2792754504670396e-07,1.2792754504669653e-07,7.437984515231166e-21,1.0100255190236854e-226
8.57476125106639e-09,1.4929551992657796e-07,1.492955199265722e-07,5.7790058317657774e-21,2.997959979519439e-227
8.77483040095618e-09,1.736543075592195e-07,1.7365430755921502e-07,4.483418207925418e-21,8.885412021423156e-228
8.979567630057271e-09,2.0131698652487233e-07,2.0131698652486887e-07,3.473150681126159e-21,2.629587137671329e-228
9.189081855529149e-09,2.3261159350533393e-07,2.3261159350533125e-07,2.686558211900097e-21,7.770622622846739e-229
9.403484535822448e-09,2.678788138344296e-07,2.6787881383442753e-07,2.0750431907932933e-21,2.292885274487664e-229
9.622889729972915e-09,3.0746908344745267e-07,3.074690834474511e-07,1.6003548188084485e-21,6.755649167888399e-230
9.847414158279238e-09,3.517390728613327e-07,3.5173907286133147e-07,1.2324340219120182e-21,1.9875135867642135e-230
1.00771772643966e-08,4.0104753471153717e-07,4.010475347115362e-07,9.476966189151082e-22,5.838635724241909e-231
1.0312301278878752e-08,4.5575050943872964e-07,4.557505094387289e-07,7.276679373209062e-22,1.712659034678972e-231
1.0552911284202958e-08,5.161958988657239e-07,5.161958988657233e-07,5.578987690400613e-22,5.016359989431854e-232
1.0799135281311973e-08,5.82717434452268e-07,5.827174344522676e-07,4.271061477185414e-22,1.4671169554623516e-232
1.1051104257708655e-08,6.556280856887846e-07,6.556280856887843e-07,3.2649346862588613e-22,4.284489007667068e-233
1.1308952257139362e-08,7.352129740211718e-07,7.352129740211716e-07,2.492134220047598e-22,1.2493714725284253e-233
1.1572816450903257e-08,8.217218784236509e-07,8.217218784236507e-07,1.8994445293096849e-22,3.6378299427449247e-234
1.1842837210825273e-08,9.153614397025059e-07,9.153614397025058e-07,1.445573097323422e-22,1.0576730950156067e-234
1.2119158183932106e-08,1.0162871911888034e-06,1.0162871911888031e-06,1.0985295785484647e-22,3.0705684008146774e-235
1.2401926368869927e-08,1.1245955629635137e-06,1.1245955629635137e-06,8.335692945230904e-23,8.901113754823793e-236
1.2691292194105873e-08,1.2403160244136948e-06,1.2403160244136948e-06,6.315822522766656e-23,2.5764883433546824e-236
1.2987409597953347e-08,1.3634035449717737e-06,1.3634035449717737e-06,4.7783326719721816e-23,7.446809914348273e-237
1.3290436110465329e-08,1.493731564583036e-06,1.493731564583036e-06,3.6097830630606775e-23,2.1491692111617817e-237
