ell,DeltaCl_over_Cl_A_percent,DeltaCl_over_Cl_B_percent
171,-1.8272875953081312e-27,-5.481862785924393e-27
172,-1.8474898001359382e-27,-5.5424694004078145e-27
173,-1.8677890807475527e-27,-5.603367242242659e-27
174,-1.8881852155969112e-27,-5.664555646790733e-27
175,-1.908677983445564e-27,-5.726033950336692e-27
176,-1.929267163362332e-27,-5.7878014900869955e-27
177,-1.9499525347229533e-27,-5.849857604168859e-27
178,-1.9707338772097402e-27,-5.9122016316292205e-27
179,-1.9916109708112274e-27,-5.974832912433682e-27
180,-2.0125835958218277e-27,-6.037750787465484e-27
181,-2.0336515328414848e-27,-6.100954598524455e-27
182,-2.054814562775325e-27,-6.1644436883259755e-27
183,-2.0760724668333134e-27,-6.22821740049994e-27
184,-2.0974250265299068e-27,-6.2922750795897204e-27
185,-2.1188720236837093e-27,-6.3566160710511285e-27
186,-2.1404132404171248e-27,-6.4212397212513744e-27
187,-2.1620484591560167e-27,-6.48614537746805e-27
188,-2.183777462629359e-27,-6.551332387888077e-27
189,-2.205600033868896e-27,-6.616800101606687e-27
190,-2.227515956208794e-27,-6.682547868626383e-27
191,-2.249525013285303e-27,-6.748575039855909e-27
192,-2.271626989036413e-27,-6.814880967109238e-27
193,-2.2938216677015073e-27,-6.881465003104522e-27
194,-2.3161088338210225e-27,-6.948326501463067e-27
195,-2.3384882722361106e-27,-7.015464816708332e-27
196,-2.36095976808829e-27,-7.08287930426487e-27
197,-2.3835231068191116e-27,-7.150569320457334e-27
198,-2.4061780741698116e-27,-7.218534222509436e-27
199,-2.4289244561809738e-27,-7.286773368542921e-27
200,-2.451762039192192e-27,-7.355286117576577e-27
201,-2.4746906098417255e-27,-7.424071829525177e-27
202,-2.4977099550661615e-27,-7.493129865198485e-27
203,-2.5208198621000777e-27,-7.562459586300234e-27
204,-2.5440201184756996e-27,-7.6320603554271e-27
205,-2.5673105120225663e-27,-7.701931536067698e-27
206,-2.590690830867189e-27,-7.772072492601567e-27
207,-2.6141608634327167e-27,-7.84248259029815e-27
208,-2.6377203984385927e-27,-7.913161195315778e-27
209,-2.6613692249002256e-27,-7.984107674700678e-27
210,-2.6851071321286456e-27,-8.055321396385937e-27
211,-2.7089339097301723e-27,-8.126801729190518e-27
212,-2.7328493476060774e-27,-8.198548042818231e-27
213,-2.7568532359522465e-27,-8.27055970785674e-27
214,-2.780945365258848e-27,-8.342836095776544e-27
215,-2.805125526309997e-27,-8.415376578929991e-27
216,-2.829393510183415e-27,-8.488180530550245e-27
217,-2.853749108250106e-27,-8.561247324750319e-27
218,-2.8781921121740128e-27,-8.634576336522039e-27
219,-2.9027223139116862e-27,-8.708166941735057e-27
220,-2.9273395057119568e-27,-8.78201851713587e-27
221,-2.952043480115593e-27,-8.856130440346779e-27
222,-2.976834029954975e-27,-8.930502089864925e-27
223,-3.0017109483537627e-27,-9.005132845061289e-27
224,-3.026674028726558e-27,-9.080022086179673e-27
225,-3.0517230647785766e-27,-9.15516919433573e-27
226,-3.0768578505053192e-27,-9.230573551515957e-27
227,-3.1020781801922358e-27,-9.306234540576708e-27
228,-3.1273838484143976e-27,-9.382151545243194e-27
229,-3.152774650036168e-27,-9.458323950108505e-27
230,-3.178250380210868e-27,-9.534751140632603e-27
231,-3.2038108343804517e-27,-9.611432503141355e-27
232,-3.2294558082751724e-27,-9.688367424825518e-27
233,-3.255185097913258e-27,-9.765555293739773e-27
234,-3.280998499600579e-27,-9.842995498801739e-27
235,-3.306895809930323e-27,-9.92068742979097e-27
236,-3.332876825782661e-27,-9.998630477347984e-27
237,-3.358941344324431e-27,-1.0076824032973292e-26
238,-3.385089163008796e-27,-1.0155267489026388e-26
239,-3.411320079574928e-27,-1.0233960238724787e-26
240,-3.43763389204768e-27,-1.0312901676143041e-26
241,-3.464030398737253e-27,-1.0392091196211762e-26
242,-3.490509398238878e-27,-1.0471528194716637e-26
243,-3.517070689432487e-27,-1.0551212068297463e-26
244,-3.5437140714823845e-27,-1.0631142214447152e-26
245,-3.570439343836928e-27,-1.0711318031510786e-26
246,-3.5972463062282026e-27,-1.0791738918684608e-26
247,-3.62413475867169e-27,-1.0872404276015068e-26
248,-3.651104501465954e-27,-1.0953313504397862e-26
249,-3.67815533519231e-27,-1.103446600557693e-26
250,-3.705287060714504e-27,-1.1115861182143514e-26
251,-3.732499479178392e-27,-1.1197498437535179e-26
252,-3.759792392011613e-27,-1.127937717603484e-26
253,-3.787165600923267e-27,-1.1361496802769802e-26
254,-3.814618907903597e-27,-1.144385672371079e-26
255,-3.842152115223664e-27,-1.1526456345670992e-26
256,-3.8697650254350244e-27,-1.1609295076305073e-26
257,-3.897457441369415e-27,-1.1692372324108246e-26
258,-3.925229166138423e-27,-1.177568749841527e-26
259,-3.953080003133176e-27,-1.1859240009399528e-26
260,-3.981009756024014e-27,-1.1943029268072042e-26
261,-4.009018228760171e-27,-1.2027054686280514e-26
262,-4.03710522556946e-27,-1.2111315676708382e-26
263,-4.06527055095795e-27,-1.219581165287385e-26
264,-4.093514009709644e-27,-1.2280542029128933e-26
265,-4.1218354068861714e-27,-1.2365506220658514e-26
266,-4.150234547826459e-27,-1.2450703643479378e-26
