ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
1303,-0.0005275916615100722,-0.0015827749845302166
1304,-0.0005280496324851983,-0.0015841488974555947
1305,-0.0005285073793758967,-0.0015855221381276899
1306,-0.0005289649018637984,-0.0015868947055913951
1307,-0.0005294221996313345,-0.0015882665988940033
1308,-0.0005298792723617339,-0.0015896378170852017
1309,-0.0005303361197390236,-0.0015910083592170707
1310,-0.0005307927414480258,-0.0015923782243440774
1311,-0.000531249137174359,-0.001593747411523077
1312,-0.0005317053066044347,-0.0015951159198133041
1313,-0.000532161249425458,-0.001596483748276374
1314,-0.0005326169653254253,-0.0015978508959762759
1315,-0.0005330724539931242,-0.0015992173619793727
1316,-0.0005335277151181315,-0.0016005831453543946
1317,-0.000533982748390813,-0.0016019482451724387
1318,-0.0005344375535023213,-0.0016033126605069638
1319,-0.0005348921301445959,-0.0016046763904337875
1320,-0.000535346478010361,-0.001606039434031083
1321,-0.0005358005967931257,-0.001607401790379377
1322,-0.0005362544861871812,-0.0016087634585615438
1323,-0.0005367081458876018,-0.0016101244376628054
1324,-0.0005371615755902415,-0.0016114847267707244
1325,-0.0005376147749917349,-0.0016128443249752045
1326,-0.000538067743789495,-0.001614203231368485
1327,-0.0005385204816817123,-0.001615561445045137
1328,-0.0005389729883673543,-0.0016169189651020627
1329,-0.0005394252635461635,-0.0016182757906384904
1330,-0.000539877306918657,-0.0016196319207559709
1331,-0.000540329118186125,-0.001620987354558375
1332,-0.0005407806970506303,-0.0016223420911518906
1333,-0.0005412320432150063,-0.0016236961296450189
1334,-0.0005416831563828568,-0.0016250494691485704
1335,-0.0005421340362585549,-0.0016264021087756646
1336,-0.0005425846825472408,-0.001627754047641722
1337,-0.0005430350949548219,-0.0016291052848644656
1338,-0.0005434852731879719,-0.0016304558195639157
1339,-0.0005439352169541287,-0.0016318056508623857
1340,-0.0005443849259614934,-0.0016331547778844803
1341,-0.0005448343999190307,-0.0016345031997570922
1342,-0.000545283638536466,-0.001635850915609398
1343,-0.0005457326415242857,-0.0016371979245728568
